/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 204 | Reward: -374.948 | Steps: 15 | Success: True | Epsilon: 0.754
Episode 205 | Reward: -974.300 | Steps: 24 | Success: True | Epsilon: 0.753
Episode 206 | Reward: -581.829 | Steps: 20 | Success: True | Epsilon: 0.752
Episode 207 | Reward: -1170.282 | Steps: 26 | Success: True | Epsilon: 0.751
Episode 208 | Reward: -1111.030 | Steps: 24 | Success: True | Epsilon: 0.750
Episode 209 | Reward:  -41.883 | Steps:  4 | Success: True | Epsilon: 0.749
Episode 210 | Reward: -328.254 | Steps:  5 | Success: False | Epsilon: 0.748
Episode 211 | Reward: -321.521 | Steps:  5 | Success: False | Epsilon: 0.747
Episode 212 | Reward: -126.323 | Steps:  6 | Success: True | Epsilon: 0.746
Episode 213 | Reward: -576.451 | Steps: 24 | Success: True | Epsilon: 0.745
Episode 214 | Reward: -905.608 | Steps: 23 | Success: True | Epsilon: 0.744
Episode 215 | Reward:  -53.024 | Steps:  5 | Success: True | Epsilon: 0.743
Episode 216 | Reward: -169.200 | Steps:  7 | Success: True | Epsilon: 0.742
Episode 217 | Reward: -1026.589 | Steps: 23 | Success: True | Epsilon: 0.741
Episode 218 | Reward: -727.748 | Steps: 21 | Success: True | Epsilon: 0.741
Episode 219 | Reward:  -93.688 | Steps:  1 | Success: False | Epsilon: 0.740
Episode 220 | Reward: -354.107 | Steps: 13 | Success: True | Epsilon: 0.739
Episode 221 | Reward: -498.864 | Steps: 13 | Success: True | Epsilon: 0.738
Episode 222 | Reward: -115.430 | Steps:  7 | Success: True | Epsilon: 0.737
Episode 223 | Reward: -178.378 | Steps:  8 | Success: True | Epsilon: 0.736
Episode 224 | Reward:  -90.299 | Steps:  1 | Success: False | Epsilon: 0.735
Episode 225 | Reward: -128.579 | Steps:  7 | Success: True | Epsilon: 0.734
Validation | episode=225 success=20.00% recent_reward=-464.282
Episode 226 | Reward: -1362.990 | Steps: 32 | Success: True | Epsilon: 0.733
Episode 227 | Reward: -640.718 | Steps:  9 | Success: False | Epsilon: 0.732
Episode 228 | Reward: -404.120 | Steps:  6 | Success: False | Epsilon: 0.731
Episode 229 | Reward: -394.545 | Steps: 15 | Success: True | Epsilon: 0.730
Episode 230 | Reward: -417.160 | Steps:  6 | Success: False | Epsilon: 0.729
Episode 231 | Reward: -524.555 | Steps:  7 | Success: False | Epsilon: 0.728
Episode 232 | Reward: -1335.566 | Steps: 28 | Success: True | Epsilon: 0.727
Episode 233 | Reward:  -26.130 | Steps:  3 | Success: True | Epsilon: 0.726
Episode 234 | Reward: -662.829 | Steps:  9 | Success: False | Epsilon: 0.725
Episode 235 | Reward: -297.666 | Steps: 14 | Success: True | Epsilon: 0.724
Episode 236 | Reward: -105.500 | Steps:  1 | Success: False | Epsilon: 0.723
Episode 237 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.723
Episode 238 | Reward: -227.431 | Steps:  9 | Success: True | Epsilon: 0.722
Episode 239 | Reward: -1104.930 | Steps: 25 | Success: True | Epsilon: 0.721
Episode 240 | Reward: -591.561 | Steps:  8 | Success: False | Epsilon: 0.720
Episode 241 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.719
Episode 242 | Reward:  -26.130 | Steps:  3 | Success: True | Epsilon: 0.718
Episode 243 | Reward: -1091.844 | Steps: 25 | Success: True | Epsilon: 0.717
Episode 244 | Reward:  -39.616 | Steps:  4 | Success: True | Epsilon: 0.716
Episode 245 | Reward: -102.107 | Steps:  9 | Success: True | Epsilon: 0.715
Episode 246 | Reward: -109.707 | Steps:  1 | Success: False | Epsilon: 0.714
Episode 247 | Reward:  -27.001 | Steps:  3 | Success: True | Epsilon: 0.713
Episode 248 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.712
Episode 249 | Reward: -491.912 | Steps: 18 | Success: True | Epsilon: 0.711
Episode 250 | Reward: -612.016 | Steps: 23 | Success: True | Epsilon: 0.710
Validation | episode=250 success=20.00% recent_reward=-397.269
Episode 251 | Reward: -292.333 | Steps: 11 | Success: True | Epsilon: 0.709
Episode 252 | Reward:  -53.325 | Steps:  5 | Success: True | Epsilon: 0.708
Episode 253 | Reward: -1092.575 | Steps: 24 | Success: True | Epsilon: 0.708
Episode 254 | Reward: -103.804 | Steps:  1 | Success: False | Epsilon: 0.707
Episode 255 | Reward: -1932.911 | Steps: 38 | Success: True | Epsilon: 0.706
Episode 256 | Reward:  -41.744 | Steps:  4 | Success: True | Epsilon: 0.705
Episode 257 | Reward: -959.408 | Steps: 25 | Success: True | Epsilon: 0.704
Episode 258 | Reward:  -90.027 | Steps:  1 | Success: False | Epsilon: 0.703
Episode 259 | Reward: -542.600 | Steps: 16 | Success: True | Epsilon: 0.702
Episode 260 | Reward:  -40.665 | Steps:  4 | Success: True | Epsilon: 0.701
Episode 261 | Reward: -545.645 | Steps: 23 | Success: True | Epsilon: 0.700
Episode 262 | Reward: -408.220 | Steps: 14 | Success: True | Epsilon: 0.699
Episode 263 | Reward:  -67.146 | Steps:  6 | Success: True | Epsilon: 0.698
Episode 264 | Reward: -1019.121 | Steps: 25 | Success: True | Epsilon: 0.697
Episode 265 | Reward: -158.684 | Steps:  2 | Success: False | Epsilon: 0.696
Episode 266 | Reward: -694.696 | Steps:  9 | Success: False | Epsilon: 0.696
Episode 267 | Reward:  -27.743 | Steps:  3 | Success: True | Epsilon: 0.695
Episode 268 | Reward: -326.893 | Steps:  5 | Success: False | Epsilon: 0.694
Episode 269 | Reward: -482.959 | Steps:  7 | Success: False | Epsilon: 0.693
Episode 270 | Reward: -877.289 | Steps: 23 | Success: True | Epsilon: 0.692
Episode 271 | Reward:  -89.176 | Steps:  1 | Success: False | Epsilon: 0.691
Episode 272 | Reward: -253.263 | Steps:  9 | Success: True | Epsilon: 0.690
