/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 259 | Reward:   38.000 | Steps: 36 | Success: True | Epsilon: 0.684
Episode 260 | Reward:   22.000 | Steps: 28 | Success: True | Epsilon: 0.682
Episode 261 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.681
Episode 262 | Reward:   20.000 | Steps:  8 | Success: True | Epsilon: 0.680
Episode 263 | Reward:    8.000 | Steps:  8 | Success: True | Epsilon: 0.679
Episode 264 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.677
Episode 265 | Reward:  -29.000 | Steps: 40 | Success: False | Epsilon: 0.676
Episode 266 | Reward: -140.000 | Steps: 40 | Success: False | Epsilon: 0.675
Episode 267 | Reward:   28.000 | Steps: 12 | Success: True | Epsilon: 0.674
Episode 268 | Reward:   16.000 | Steps: 27 | Success: True | Epsilon: 0.673
Episode 269 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.671
Episode 270 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.670
Episode 271 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.669
Episode 272 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.668
Episode 273 | Reward:    4.000 | Steps: 18 | Success: True | Epsilon: 0.666
Episode 274 | Reward:   24.000 | Steps: 36 | Success: True | Epsilon: 0.665
Episode 275 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.664
Episode 276 | Reward:  -32.000 | Steps: 40 | Success: False | Epsilon: 0.663
Episode 277 | Reward:    8.000 | Steps:  8 | Success: True | Epsilon: 0.661
Episode 278 | Reward:  -20.000 | Steps: 40 | Success: False | Epsilon: 0.660
Episode 279 | Reward:   34.000 | Steps: 31 | Success: True | Epsilon: 0.659
Episode 280 | Reward:   22.000 | Steps: 33 | Success: True | Epsilon: 0.658
Episode 281 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.657
Episode 282 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.655
Episode 283 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.654
Episode 284 | Reward:   16.000 | Steps: 25 | Success: True | Epsilon: 0.653
Episode 285 | Reward:   10.000 | Steps:  6 | Success: True | Epsilon: 0.652
Episode 286 | Reward:  -36.000 | Steps:  6 | Success: False | Epsilon: 0.650
Episode 287 | Reward:   14.000 | Steps:  5 | Success: True | Epsilon: 0.649
Episode 288 | Reward: -172.000 | Steps: 40 | Success: False | Epsilon: 0.648
Episode 289 | Reward:  -29.000 | Steps: 40 | Success: False | Epsilon: 0.647
Episode 290 | Reward:   28.000 | Steps: 30 | Success: True | Epsilon: 0.646
Episode 291 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.644
Episode 292 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.643
Episode 293 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.642
Episode 294 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.641
