Episode 278 | Reward: -411.027 | Steps: 40 | Success: True | Epsilon: 0.685
Episode 279 | Reward:   -9.802 | Steps:  7 | Success: True | Epsilon: 0.684
Episode 280 | Reward: -100.978 | Steps: 17 | Success: True | Epsilon: 0.683
Episode 281 | Reward:  -68.166 | Steps: 12 | Success: True | Epsilon: 0.682
Episode 282 | Reward:  -67.044 | Steps: 10 | Success: True | Epsilon: 0.681
Episode 283 | Reward: -131.381 | Steps:  8 | Success: False | Epsilon: 0.680
Episode 284 | Reward:  -26.492 | Steps:  1 | Success: False | Epsilon: 0.679
Episode 285 | Reward: -111.769 | Steps:  7 | Success: False | Epsilon: 0.678
Episode 286 | Reward: -122.155 | Steps:  8 | Success: False | Epsilon: 0.677
Episode 287 | Reward:  -53.809 | Steps: 11 | Success: True | Epsilon: 0.676
Episode 288 | Reward:  -26.363 | Steps:  1 | Success: False | Epsilon: 0.675
Episode 289 | Reward:  -44.090 | Steps:  9 | Success: True | Epsilon: 0.675
Episode 290 | Reward:   -8.669 | Steps:  5 | Success: True | Epsilon: 0.674
Episode 291 | Reward: -136.634 | Steps: 17 | Success: True | Epsilon: 0.673
Episode 292 | Reward:  -76.876 | Steps:  5 | Success: False | Epsilon: 0.672
Episode 293 | Reward:  -62.865 | Steps: 25 | Success: True | Epsilon: 0.671
Episode 294 | Reward:  -10.013 | Steps:  5 | Success: True | Epsilon: 0.670
Episode 295 | Reward:   -0.375 | Steps:  4 | Success: True | Epsilon: 0.669
Episode 296 | Reward:  -26.463 | Steps:  1 | Success: False | Epsilon: 0.668
Episode 297 | Reward:  -62.930 | Steps: 12 | Success: True | Epsilon: 0.667
Episode 298 | Reward:  -17.328 | Steps:  1 | Success: False | Epsilon: 0.666
Episode 299 | Reward: -303.734 | Steps: 35 | Success: True | Epsilon: 0.666
Episode 300 | Reward:  -26.608 | Steps:  1 | Success: False | Epsilon: 0.665
Validation | episode=300 success=56.00% recent_reward=-74.447
New best model saved. val_success=56.00% recent_reward=-74.447
Episode 301 | Reward:  -27.867 | Steps:  1 | Success: False | Epsilon: 0.664
Episode 302 | Reward:  -95.867 | Steps:  6 | Success: False | Epsilon: 0.663
Episode 303 | Reward:  -26.314 | Steps:  1 | Success: False | Epsilon: 0.662
Episode 304 | Reward:  -25.241 | Steps:  1 | Success: False | Epsilon: 0.661
