/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 297 | Reward:   24.000 | Steps: 11 | Success: True | Epsilon: 0.598
Episode 298 | Reward:    7.000 | Steps:  2 | Success: True | Epsilon: 0.596
Episode 299 | Reward:   17.000 | Steps:  4 | Success: True | Epsilon: 0.595
Episode 300 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.594
Episode 301 | Reward:   13.000 | Steps: 21 | Success: True | Epsilon: 0.592
Episode 302 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.591
Episode 303 | Reward:   18.000 | Steps: 22 | Success: True | Epsilon: 0.590
Episode 304 | Reward:   14.000 | Steps: 22 | Success: True | Epsilon: 0.588
Episode 305 | Reward:  -34.000 | Steps:  5 | Success: False | Epsilon: 0.587
Episode 306 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.585
Episode 307 | Reward:   15.000 | Steps: 18 | Success: True | Epsilon: 0.584
Episode 308 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.583
Episode 309 | Reward:  -40.000 | Steps:  8 | Success: False | Epsilon: 0.581
Episode 310 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.580
Episode 311 | Reward:   11.000 | Steps: 13 | Success: True | Epsilon: 0.579
Episode 312 | Reward:    0.000 | Steps: 23 | Success: True | Epsilon: 0.577
Episode 313 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.576
Episode 314 | Reward:   12.000 | Steps:  4 | Success: True | Epsilon: 0.575
Episode 315 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.573
