Episode 263 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.584
Episode 264 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.583
Episode 265 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.581
Episode 266 | Reward:    4.000 | Steps:  6 | Success: True | Epsilon: 0.580
Episode 267 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.578
Episode 268 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.577
Episode 269 | Reward:   28.000 | Steps: 24 | Success: True | Epsilon: 0.575
Episode 270 | Reward:   42.000 | Steps: 19 | Success: True | Epsilon: 0.573
Episode 271 | Reward:   38.000 | Steps: 14 | Success: True | Epsilon: 0.572
Episode 272 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.570
Episode 273 | Reward:   -4.000 | Steps: 20 | Success: True | Epsilon: 0.569
Episode 274 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.567
Episode 275 | Reward:   34.000 | Steps: 30 | Success: True | Epsilon: 0.565
Episode 276 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.564
Episode 277 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.562
Episode 278 | Reward:   36.000 | Steps: 13 | Success: True | Epsilon: 0.561
Episode 279 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.559
Episode 280 | Reward:   46.000 | Steps: 18 | Success: True | Epsilon: 0.558
Episode 281 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.556
Episode 282 | Reward:   36.000 | Steps: 13 | Success: True | Epsilon: 0.554
Episode 283 | Reward:  -18.000 | Steps: 22 | Success: True | Epsilon: 0.553
Episode 284 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.551
Episode 285 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.550
Episode 286 | Reward:   38.000 | Steps: 29 | Success: True | Epsilon: 0.548
Episode 287 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.546
Episode 288 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.545
Episode 289 | Reward:   46.000 | Steps: 18 | Success: True | Epsilon: 0.543
Episode 290 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.542
Episode 291 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.540
Episode 292 | Reward:   14.000 | Steps: 26 | Success: True | Epsilon: 0.538
Episode 293 | Reward:   40.000 | Steps: 27 | Success: True | Epsilon: 0.537
Episode 294 | Reward:   -8.000 | Steps: 30 | Success: True | Epsilon: 0.535
Episode 295 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.534
Episode 296 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.532
Episode 297 | Reward:   10.000 | Steps:  9 | Success: True | Epsilon: 0.531
Episode 298 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.529
Episode 299 | Reward:  -38.000 | Steps: 40 | Success: False | Epsilon: 0.527
Episode 300 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.526
Episode 301 | Reward:   26.000 | Steps:  8 | Success: True | Epsilon: 0.524
Episode 302 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.523
Episode 303 | Reward:  -22.000 | Steps: 29 | Success: True | Epsilon: 0.521
Episode 304 | Reward:   48.000 | Steps: 19 | Success: True | Epsilon: 0.519
Episode 305 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.518
Episode 306 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.516
Episode 307 | Reward:   14.000 | Steps: 20 | Success: True | Epsilon: 0.515
Episode 308 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.513
Episode 309 | Reward:   10.000 | Steps: 39 | Success: True | Epsilon: 0.512
Episode 310 | Reward:   10.000 | Steps: 40 | Success: False | Epsilon: 0.510
Episode 311 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.508
Episode 312 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.507
Episode 313 | Reward:  -42.000 | Steps:  8 | Success: False | Epsilon: 0.505
Episode 314 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.504
Episode 315 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.502
Episode 316 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.500
Episode 317 | Reward:   28.000 | Steps: 40 | Success: False | Epsilon: 0.499
Episode 318 | Reward:   22.000 | Steps: 24 | Success: True | Epsilon: 0.497
Episode 319 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.496
Episode 320 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.494
Episode 321 | Reward:   46.000 | Steps: 18 | Success: True | Epsilon: 0.492
Episode 322 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.491
Episode 323 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.489
Episode 324 | Reward:    4.000 | Steps: 12 | Success: True | Epsilon: 0.488
Episode 325 | Reward:   34.000 | Steps: 12 | Success: True | Epsilon: 0.486
Episode 326 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.485
Episode 327 | Reward:    8.000 | Steps: 23 | Success: True | Epsilon: 0.483
Episode 328 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.481
Episode 329 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.480
Episode 330 | Reward:    4.000 | Steps: 12 | Success: True | Epsilon: 0.478
Episode 331 | Reward:    8.000 | Steps:  5 | Success: True | Epsilon: 0.477
Episode 332 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.475
Episode 333 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.473
Episode 334 | Reward:    6.000 | Steps: 19 | Success: True | Epsilon: 0.472
Episode 335 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.470
